Study_ID,scientificName,Common_name,redlistCategory,Synonyms_or_previous_lump,Rodent_attributed_IUCN,Article,Article_secondary_same_data,Study_type,Study_rodent,Study_location,Latitude,Longitude,Description,Site,Predator_units,Prey_error_type,Prey_error_source,Prey_units,Abundance_reproduction,Sample_type,Source,Original_study_design_effect_type,Prey_mean_Rats_Absent,Prey_mean_Rats_Present,Prey_error_Rats_Absent,Prey_error_Rats_Present,Number_of_samples_Rats_Absent,Number_of_samples_Rats_Present,Number_of_years_Rats_Absent,Number_of_years_Rats_Present,Number_of_sites_Rats_Absent,Number_of_sites_Rats_Present,Sample_size_overall_Rats_Absent,Sample_size_overall_Rats_Present,Comparison_notes,Long_term,Effect_size_conversion,cv_rats_absent,cv_rats_present,effect_size,sampling_variance,effect_size_type,analysis_group,Time,Hypothesis_supported_when,Question,Rat_Absent.Prey_Neg,Rat_Absent.Prey_Pos,Rat_Present.Prey_Neg,Rat_Present.Prey_Pos,correlation_id,n,r,effect_size_id
study_51,Puffinus mauretanicus,Balearic Shearwater,Critically Endangered,N/A,"Rattus rattus, Rattus norvegicus","Ruffino, L., Bourgeois, K., Vidal, E., Duhem, C., Paracuellos, M., Escribano, F., Sposimo, P., Baccetti, N., Pascal, M. and Oro, D., 2009. Invasive rats and seabirds after 2,000 years of an unwanted coexistence on Mediterranean islands. Biological invasions, 11, pp.1631-1651.",N/A,Spatial,Rattus rattus,,40.12584412,2.513682324,,,Presence/Absence,,,Presence/Absence,Abundance,,,Binary Odds Ratio,,,,,,,,,,,,,,1,,,,3.84494467634134,2.15102357596346,OR,Long-term abundance,,Negative,Long term rat and bird presence vs absence,35,0,20,13,,,,11
study_26,Vini peruviana,Blue Lorikeet,Vulnerable,N/A,Rattus rattus,"Seitre, J., 1992. Causes of land-bird extinctions in French Polynesia. Oryx, 26(4), pp.215-222.",N/A,Spatial,Rattus rattus,,-17.6797,-149.4068,,,Presence/Absence,,,Presence/Absence,Abundance,,,Binary Odds Ratio,,,,,,,,,,,,,,1,,,,-3.80666248977032,4.62222222222222,OR,Long-term abundance,,Negative,Long term rat and bird presence vs absence,0,2,4,0,,,,12
study_55,Pomarea spp.,Monarchs (genus),N/A,N/A,Rattus,"Thibault, J.C., Martin, J.L., Penloup, A. and Meyer, J.Y., 2002. Understanding the decline and extinction of monarchs (Aves) in Polynesian Islands. Biological conservation, 108(2), pp.161-174.",N/A,Spatiotemporal,Rattus rattus,Pacific islands,-17.6797,-149.4068,,,Presence/Absence,,,Presence/Absence,Abundance,,,Binary Odds Ratio,,,,,,,,,,,,,,1,,,,-1.73460105538811,4.7843137254902,OR,Long-term abundance,Earliest time series,Negative,Long term rat and bird presence vs absence,0,8,0,1,,,,13
study_55,Pomarea spp.,Monarchs (genus),N/A,N/A,Rattus,"Thibault, J.C., Martin, J.L., Penloup, A. and Meyer, J.Y., 2002. Understanding the decline and extinction of monarchs (Aves) in Polynesian Islands. Biological conservation, 108(2), pp.161-174.",N/A,Spatiotemporal,Rattus rattus,Pacific islands,-17.6797,-149.4068,,,Presence/Absence,,,Presence/Absence,Abundance,,,Binary Odds Ratio,,,,,,,,,,,,,,1,,,,-2.4567357728213,3.35238095238095,OR,Long-term abundance,Latest time series,Negative,Long term rat and bird presence vs absence,0,2,3,1,,,,14
study_56,Puffinus yelkouan,Yelkouan Shearwater,Vulnerable,N/A,Rattus rattus,"Martin, J.L., Thibault, J.C. and Bretagnolle, V., 2000. Black rats, island characteristics, and colonial nesting birds in the Mediterranean: consequences of an ancient introduction. Conservation Biology, 14(5), pp.1452-1466.",,Spatial,Rattus rattus,Cabrera Islands,39.1407,2.9451,,,Presence/Absence,,,Presence/Absence,Abundance,,,Binary Odds Ratio,,,,,,,,,,,,,,1,,,,2.32060359849672,1.14339826839827,OR,Long-term abundance,,Negative,Long term rat and bird presence vs absence,24,1,33,14,,,,15
study_11,Puffinus myrtae,Rapa Shearwater,Critically Endangered,"Puffinus assimilis, Puffinus newelli",Rattus exulans,"Pierce, R.J., 2002. Kiore (Rattus exulans) impact on breeding success of Pycroft's petrels and little shearwaters (p. 24). Wellington: Department of Conservation.",N/A,Temporal,Rattus exulans,"Lady Alice Island, Coppermine Island",-35.8911,174.7303,,Coppermine,Before/After,,,Percent breeding success,Reproduction,,,Continuous Odds Ratio,,,,,,,,,,,,,,0,,,,-3.11813425506667,0.602496159754224,OR,Before-after eradication reproduction,,Negative,Short term bird reproduction before vs after rat eradication,24,31,35,2,,,,16
study_11,Puffinus myrtae,Rapa Shearwater,Critically Endangered,"Puffinus assimilis, Puffinus newelli",Rattus exulans,"Pierce, R.J., 2002. Kiore (Rattus exulans) impact on breeding success of Pycroft's petrels and little shearwaters (p. 24). Wellington: Department of Conservation.",N/A,Temporal,Rattus exulans,"Lady Alice Island, Coppermine Island",-35.8911,174.7303,,Lady Alice,Before/After,,,Percent breeding success,Reproduction,,,Continuous Odds Ratio,,,,,,,,,,,,,,0,,,,-0.998590674942465,0.116825634216939,OR,Before-after eradication reproduction,,Negative,Short term bird reproduction before vs after rat eradication,37,77,30,23,,,,17
study_14,Pterodroma pycrofti,Pycroft's Petrel,Vulnerable,N/A,Rattus exulans,"Pierce, R.J., 2002. Kiore (Rattus exulans) impact on breeding success of Pycroft's petrels and little shearwaters (p. 24). Wellington: Department of Conservation.",N/A,Temporal,Rattus exulans,"Lady Alice Island, Coppermine Island",-35.8911,174.7303,,Coppermine,Before/After,,,Percent breeding success,Reproduction,,,Continuous Odds Ratio,,,,,,,,,,,,,,0,,,,-0.979420802074668,0.0895103722031205,OR,Before-after eradication reproduction,,Negative,Short term bird reproduction before vs after rat eradication,29,43,88,49,,,,18
study_14,Pterodroma pycrofti,Pycroft's Petrel,Vulnerable,N/A,Rattus exulans,"Pierce, R.J., 2002. Kiore (Rattus exulans) impact on breeding success of Pycroft's petrels and little shearwaters (p. 24). Wellington: Department of Conservation.",N/A,Temporal,Rattus exulans,"Lady Alice Island, Coppermine Island",-35.8911,174.7303,,Lady Alice,Before/After,,,Percent breeding success,Reproduction,,,Continuous Odds Ratio,,,,,,,,,,,,,,0,,,,-0.997169210595088,0.0803634425738259,OR,Before-after eradication reproduction,,Negative,Short term bird reproduction before vs after rat eradication,128,190,42,23,,,,19
study_13,Pterodroma cookii,Cook's Petrel,Vulnerable,Pterodroma cooki,"Rattus exulans, Rattus rattus","Imber, M.J., West, J.A. and Cooper, W.J., 2003. Cook's petrel (Pterodroma cookii): historic distribution, breeding biology and effects of predators. Notornis, 50(4), pp.221-230.",N/A,Temporal,Rattus exulans,Little Barrier Island,-36.1946,175.0753,,High area,Before/After,,,Percent breeding success,Reproduction,,,Continuous Odds Ratio,,,,,,,,,,,,,,0,,,,-1.9630555560103,0.155976971252966,OR,Before-after eradication reproduction,,Negative,Short term bird reproduction before vs after rat eradication,10,33,123,57,,,,20
study_13,Pterodroma cookii,Cook's Petrel,Vulnerable,Pterodroma cooki,"Rattus exulans, Rattus rattus","Imber, M.J., West, J.A. and Cooper, W.J., 2003. Cook's petrel (Pterodroma cookii): historic distribution, breeding biology and effects of predators. Notornis, 50(4), pp.221-230.",N/A,Temporal,Rattus exulans,Little Barrier Island,-36.1946,175.0753,,Low area,Before/After,,,Percent breeding success,Reproduction,,,Continuous Odds Ratio,,,,,,,,,,,,,,0,,,,-0.315418827423381,0.0737335359675785,OR,Before-after eradication reproduction,,Negative,Short term bird reproduction before vs after rat eradication,24,63,94,180,,,,21
study_44,Pterodroma cookii,Cook's Petrel,Vulnerable,Pterodroma cooki,"Rattus exulans, Rattus rattus","Rayner, M.J., Hauber, M.E., Imber, M.J., Stamp, R.K. and Clout, M.N., 2007. Spatial heterogeneity of mesopredator release within an oceanic island system. Proceedings of the National Academy of Sciences, 104(52), pp.20862-20865.",N/A,Spatiotemporal,Rattus exulans,Little Barrier Island,-36.1946,175.0753,,High altitude,Before/After,,,Breeding success (%),Reproduction,,,Continuous Odds Ratio,,,,,,,,,,,,,,0,,,,-1.65197380740651,0.0378854707854668,OR,Before-after eradication reproduction,,Negative,Short term bird reproduction before vs after rat eradication,62,91,423,119,,,,22
study_44,Pterodroma cookii,Cook's Petrel,Vulnerable,Pterodroma cooki,"Rattus exulans, Rattus rattus","Rayner, M.J., Hauber, M.E., Imber, M.J., Stamp, R.K. and Clout, M.N., 2007. Spatial heterogeneity of mesopredator release within an oceanic island system. Proceedings of the National Academy of Sciences, 104(52), pp.20862-20865.",N/A,Spatiotemporal,Rattus exulans,Little Barrier Island,-36.1946,175.0753,,Low altitude,Before/After,,,Breeding success (%),Reproduction,,,Continuous Odds Ratio,,,,,,,,,,,,,,0,,,,0.303595468617104,0.0903976318728986,OR,Before-after eradication reproduction,,Negative,Short term bird reproduction before vs after rat eradication,49,71,27,53,,,,23
study_58,Synthliboramphus scrippsi,Scripps’s murrelet,Vulnerable,Synthliboramphus hypoleucus scrippsi,"Rattus rattus, Mus musculus, Peromyscus maniculatus","Whitworth, D.L., Carter, H.R. and Gress, F., 2013. Recovery of a threatened seabird after eradication of an introduced predator: Eight years of progress for Scripps’s murrelet at Anacapa Island, California. Biological Conservation, 162, pp.52-59.","Newton, K.M., McKown, M., Wolf, C., Gellerman, H., Coonan, T., Richards, D., Harvey, A.L., Holmes, N., Howald, G., Faulkner, K. and Tershy, B.R., 2016. Response of native species 10 years after rat eradication on Anacapa Island, California. Journal of Fish and Wildlife Management, 7(1), pp.72-85.",Temporal,Rattus rattus,Anacapa Island,34.0044,-119.3996,,,Before/After,,,Occupied nests,Reproduction,,,Continuous Odds Ratio,,,,,,,,,,,,,,0,,,,-1.45474372024946,0.0619297534009236,OR,Before-after eradication reproduction,,Negative,Short term bird reproduction before vs after rat eradication,290,244,112,22,,,,24
study_7,Chasiempis ibidis,Oahu Elepaio,Endangered,Chasiempis sandwichensis,Rattus rattus,"VanderWerf, E.A., Mosher, S.M., Burt, M.D., Taylor, P.E. and Sailer, D., 2011. Variable efficacy of rat control in conserving O ‘ahu ‘Elepaio populations. In Proceedings of the Island Invasives: Eradication and Management Conference.",N/A,Spatiotemporal,Rattus rattus,O’ahu,21.4389,-158.0001,,Ekahanui,Rats/trap/visit,,,Number of breeding pairs,Abundance,,,ZCOR,,,,,,,,,,,,,,0,,,,-0.472239153448916,0.5,ZCOR,Short-term abundance,,Negative,,,,,,study_7 1,5,-0.440006732631842,25
study_7,Chasiempis ibidis,Oahu Elepaio,Endangered,Chasiempis sandwichensis,Rattus rattus,"VanderWerf, E.A., Mosher, S.M., Burt, M.D., Taylor, P.E. and Sailer, D., 2011. Variable efficacy of rat control in conserving O ‘ahu ‘Elepaio populations. In Proceedings of the Island Invasives: Eradication and Management Conference.",N/A,Spatiotemporal,Rattus rattus,O’ahu,21.4389,-158.0001,,Moanalua,Rats/trap/visit,,,Number of breeding pairs,Abundance,,,ZCOR,,,,,,,,,,,,,,0,,,,0.369802336407142,1,ZCOR,Short-term abundance,,Negative,,,,,,study_7 3,4,0.353818806038968,26
study_7,Chasiempis ibidis,Oahu Elepaio,Endangered,Chasiempis sandwichensis,Rattus rattus,"VanderWerf, E.A., Mosher, S.M., Burt, M.D., Taylor, P.E. and Sailer, D., 2011. Variable efficacy of rat control in conserving O ‘ahu ‘Elepaio populations. In Proceedings of the Island Invasives: Eradication and Management Conference.",N/A,Spatiotemporal,Rattus rattus,O’ahu,21.4389,-158.0001,,Makaha,Rats/trap/visit,,,Number of breeding pairs,Abundance,,,ZCOR,,,,,,,,,,,,,,0,,,,0.380334504570197,0.5,ZCOR,Short-term abundance,,Negative,,,,,,study_7 4,5,0.362997930576578,27
study_7,Chasiempis ibidis,Oahu Elepaio,Endangered,Chasiempis sandwichensis,Rattus rattus,"VanderWerf, E.A., Mosher, S.M., Burt, M.D., Taylor, P.E. and Sailer, D., 2011. Variable efficacy of rat control in conserving O ‘ahu ‘Elepaio populations. In Proceedings of the Island Invasives: Eradication and Management Conference.",N/A,Spatiotemporal,Rattus rattus,O’ahu,21.4389,-158.0001,,Schofield,Rats/trap/visit,,,Number of breeding pairs,Abundance,,,ZCOR,,,,,,,,,,,,,,0,,,,-1.62353490271082,0.5,ZCOR,Short-term abundance,,Negative,,,,,,study_7 6,5,-0.92513535475468,28
study_9,Apteryx mantelli,North Island Brown Kiwi,Vulnerable,Apteryx australis,Rattus,"Gillies, C.A., Leach, M.R., Coad, N.B., Theobald, S.W., Campbell, J., Herbert, T., Graham, P.J. and Pierce, R.J., 2003. Six years of intensive pest mammal control at Trounson Kauri Park, a Department of Conservation “mainland island”, June 1996—July 2002. New Zealand Journal of Zoology, 30(4), pp.399-420.",N/A,Temporal,"Rattus rattus, Rattus norvegicus, Rattus exulans",Trounson Kauri Park,-35.7199752,173.6493761,,Trounson Kauri Park,Percent tunnels tracked by rats,,,Percent survived to 1kg,Reproduction,,,ZCOR,,,,,,,,,,,,,,0,,,,0.517404797307284,0.5,ZCOR,Short-term reproduction,,Negative,,,,,,study_9 1,5,0.475694545996469,29
study_28-29,Mohoua ochrocephala,Yellowhead,Near Threatened,N/A,Rattus rattus,"O'Donnell, C.F. and Phillipson, S.M., 1996. Predicting the incidence of mohua predation from the seedfall, mouse, and predator fluctuations in beech forests. New Zealand Journal of Zoology, 23(3), pp.287-293.",N/A,Temporal,Rattus rattus,Arthur's Pass National Park,-42.9363,171.7251,,Eglinton Valley,capture rate per hundred trap nights,,,Breeding pairs,Abundance,,,ZCOR,,,,,,,,,,,,,,0,,,,0.0634574659749579,0.2,ZCOR,Short-term abundance,,Negative,,,,,,study_28-29 2,8,0.0633724250524477,30
study_28-29,Mohoua ochrocephala,Yellowhead,Near Threatened,N/A,Rattus rattus,"O'Donnell, C.F. and Phillipson, S.M., 1996. Predicting the incidence of mohua predation from the seedfall, mouse, and predator fluctuations in beech forests. New Zealand Journal of Zoology, 23(3), pp.287-293.",N/A,Temporal,Rattus rattus,Arthur's Pass National Park,-42.9363,171.7251,,Hawdon Valley,capture rate per hundred trap nights,,,Breeding pairs,Abundance,,,ZCOR,,,,,,,,,,,,,,0,,,,0.210337007957971,0.142857142857143,ZCOR,Short-term abundance,,Negative,,,,,,study_28-29 3,10,0.207289049397213,31
study_33,Mohoua ochrocephala,Yellowhead,Near Threatened,N/A,Rattus rattus,"O'Donnell, C.F. and Hoare, J.M., 2012. Quantifying the benefits of long-term integrated pest control for forest bird populations in a New Zealand temperate rainforest. New Zealand Journal of Ecology, pp.131-140.",N/A,Temporal,Rattus rattus,Landsborough Valley,-43.9711,169.4678,,,Annual trap catches,,,Annual mean counts of birds per five-minute count,Abundance,,,ZCOR,,,,,,,,,,,,,,0,,,,0.568738928103069,0.2,ZCOR,Short-term abundance,,Negative,,,,,,study_33 4,8,0.514432538933595,32
study_34,Mohoua ochrocephala,Yellowhead,Near Threatened,N/A,Rattus rattus,"Dilks, P., Willans, M., Pryde, M. and Fraser, I., 2003. Large scale stoat control to protect mohua (Mohoua ochrocephala) and kaka (Nestor meridionalis) in the Eglinton Valley, Fiordland, New Zealand. New Zealand Journal of Ecology, pp.1-9.",N/A,Temporal,Rattus rattus,Fiordland,-45.4085,167.3591,,,Number of rats caught in traps,,,Number of pair territories,Abundance,,,ZCOR,,,,,,,,,,,,,,0,,,,-0.636873997000213,1,ZCOR,Short-term abundance,,Negative,,,,,,study_34 5,4,-0.562767335077189,33
study_35,Mohoua ochrocephala,Yellowhead,Near Threatened,N/A,Rattus rattus,"Dilks, P., Willans, M., Pryde, M. and Fraser, I., 2003. Large scale stoat control to protect mohua (Mohoua ochrocephala) and kaka (Nestor meridionalis) in the Eglinton Valley, Fiordland, New Zealand. New Zealand Journal of Ecology, pp.1-9.",N/A,Temporal,Rattus rattus,Fiordland,-45.4085,167.3591,,,Number of rats caught in traps,,,Number of pair+male only territories,Abundance,,,ZCOR,,,,,,,,,,,,,,0,,,,-0.63013133205242,1,ZCOR,Short-term abundance,,Negative,,,,,,study_35 6,4,-0.558142641257629,34
study_36,Cyanoramphus auriceps,Yellow-fronted Parakeet,Near Threatened,N/A,Rattus,"O'Donnell, C.F. and Hoare, J.M., 2012. Quantifying the benefits of long-term integrated pest control for forest bird populations in a New Zealand temperate rainforest. New Zealand Journal of Ecology, pp.131-140.",N/A,Temporal,Rattus rattus,Landsborough Valley,-43.9711,169.4678,,,Annual trap catches,,,Annual mean counts of birds per five-minute count,Abundance,,,ZCOR,,,,,,,,,,,,,,0,,,,-0.0388605023900435,0.2,ZCOR,Short-term abundance,,Negative,,,,,,study_36 7,8,-0.0388409526169516,35
study_39,Megapodius laperouse,Micronesian Scrubfowl,Near Threatened,N/A,"Rattus, Rattus rattus","Radley, P.M., Davis, R.A. and Doherty, T.S., 2021. Impacts of invasive rats and tourism on a threatened island bird: the Palau Micronesian Scrubfowl. Bird Conservation International, 31(2), pp.206-218.",N/A,Spatial,"Rattus rattus, Rattus norvegicus, Rattus exulans",Palau,7.515,134.5825,,Babelmokang ; Ngchus ; Ngeremdiu ; Ulong ; Ioulomokang ; Bailechesengel ; Cheleu ; Dmasech ; Lilblau ; Ngeanges ,Posterior mean,,,Birds per station (BPS),Abundance,,,ZCOR,,,,,,,,,,,,,,0,,,,-0.533543582959472,0.142857142857143,ZCOR,Short-term abundance,,Negative,,,,,,study_39 1,10,-0.488085161546858,36
study_42,Pterodroma phaeopygia,Galapagos Petrel,Critically Endangered,N/A,"Rattus rattus, Rattus norvegicus","Cruz, J.B. and Cruz, F., 1987. Conservation of the dark-rumped petrel Pterodroma phaeopygia in the Galapagos Islands, Ecuador. Biological Conservation, 42(4), pp.303-311.","Cruz, J.B. and Cruz, F., 1996. Conservation of the dark-rumped petrel Pterodroma phaeopygia of the Galápagos Islands, 1982–1991. Bird Conservation International, 6(1), pp.23-32.",Temporal,Rattus rattus,Floreana Island,-1.3083,-90.4314,,,Number of rats caught post control,,,% fledglings from eggs laid,Reproduction,,,ZCOR,,,,,,,,,,,,,,0,,,,0.386344583649448,1,ZCOR,Short-term reproduction,,Negative,,,,,,study_42 8,4,0.368204654654375,37
study_42,Pterodroma phaeopygia,Galapagos Petrel,Critically Endangered,N/A,"Rattus rattus, Rattus norvegicus","Cruz, J.B. and Cruz, F., 1987. Conservation of the dark-rumped petrel Pterodroma phaeopygia in the Galapagos Islands, Ecuador. Biological Conservation, 42(4), pp.303-311.","Cruz, J.B. and Cruz, F., 1996. Conservation of the dark-rumped petrel Pterodroma phaeopygia of the Galápagos Islands, 1982–1991. Bird Conservation International, 6(1), pp.23-32.",Temporal,Rattus rattus,Floreana Island,-1.3083,-90.4314,,,Number of rats caught pre control,,,% fledglings from eggs laid,Reproduction,,,ZCOR,,,,,,,,,,,,,,0,,,,0.400301955806479,1,ZCOR,Short-term reproduction,,Negative,,,,,,study_42 9,4,0.380207297708822,38
