scientificName,Rodent_attributed_final,Lethal_program_in_support,None,Not_in_support,Population_with_data_in_support,Population_without_data_in_support,Population_with_all_qualities_in_support,Predation_in_support,synth_col
Cinclodes maculirostris,Rattus norvegicus,0,0,0,0,1,0,0,Population study without data in support
Cincloramphus grosvenori,All rodents,0,1,0,0,0,0,0,No studies found
Cincloramphus grosvenori,Rattus rattus,0,1,0,0,0,0,0,No studies found
Cincloramphus llaneae,All rodents,0,1,0,0,0,0,0,No studies found
Cincloramphus llaneae,Rattus exulans,0,1,0,0,0,0,0,No studies found
Cincloramphus llaneae,Rattus rattus,0,1,0,0,0,0,0,No studies found
Cincloramphus rufus,All rodents,0,1,0,0,0,0,0,No studies found
Cincloramphus rufus,Rattus rattus,0,1,0,0,0,0,0,No studies found
Ciridops anna,All rodents,0,1,0,0,0,0,0,No studies found
Ciridops anna,Rattus exulans,0,1,0,0,0,0,0,No studies found
Ciridops anna,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Ciridops anna,Rattus rattus,0,1,0,0,0,0,0,No studies found
Cleptornis marchei,All rodents,0,0,0,0,0,0,2,Only predation in support
Cleptornis marchei,Rattus exulans,0,0,0,0,0,0,1,Only predation in support
Cleptornis marchei,Rattus norvegicus,0,0,0,0,0,0,1,Only predation in support
Clytorhynchus sanctaecrucis,All rodents,0,1,0,0,0,0,0,No studies found
Clytorhynchus sanctaecrucis,Rattus rattus,0,1,0,0,0,0,0,No studies found
Coccyzus bahamensis,All rodents,0,1,0,0,0,0,0,No studies found
Coccyzus bahamensis,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Coccyzus bahamensis,Rattus rattus,0,1,0,0,0,0,0,No studies found
Coccyzus ferrugineus,All rodents,0,1,0,0,0,0,0,No studies found
Coccyzus ferrugineus,Rattus exulans,0,1,0,0,0,0,0,No studies found
Coenocorypha aucklandica,All rodents,0,1,0,0,0,0,0,No studies found
Coenocorypha aucklandica,Rattus exulans,0,1,0,0,0,0,0,No studies found
Coenocorypha barrierensis,All rodents,0,1,0,0,0,0,0,No studies found
Coenocorypha barrierensis,Rattus exulans,0,1,0,0,0,0,0,No studies found
Coenocorypha iredalei,All rodents,0,1,0,0,1,0,0,Population study without data in support
Coenocorypha iredalei,Rattus exulans,0,1,0,0,0,0,0,No studies found
Coenocorypha iredalei,Rattus rattus,0,0,0,0,1,0,0,Population study without data in support
Coenocorypha pusilla,All rodents,0,1,0,0,0,0,0,No studies found
Coenocorypha pusilla,Rattus exulans,0,1,0,0,0,0,0,No studies found
Coenocorypha pusilla,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Coenocorypha pusilla,Rattus rattus,0,1,0,0,0,0,0,No studies found
Columba junoniae,All rodents,0,0,0,0,0,0,1,Only predation in support
Columba junoniae,Rattus rattus,0,0,0,0,0,0,1,Only predation in support
Columba thiriouxi,All rodents,0,1,0,0,0,0,0,No studies found
Columba thiriouxi,Rattus rattus,0,1,0,0,0,0,0,No studies found
Columba versicolor,All rodents,0,1,0,0,0,0,0,No studies found
Columba versicolor,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Columba versicolor,Rattus rattus,0,1,0,0,0,0,0,No studies found
Copsychus sechellarum,All rodents,0,1,1,0,0,0,0,All studies are not in support
Copsychus sechellarum,Rattus norvegicus,0,0,1,0,0,0,0,All studies are not in support
Copsychus sechellarum,Rattus rattus,0,1,0,0,0,0,0,No studies found
Coracopsis barklyi,All rodents,0,1,0,0,0,0,0,No studies found
Coracopsis barklyi,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Coracopsis barklyi,Rattus rattus,0,1,0,0,0,0,0,No studies found
Corvus hawaiiensis,All rodents,0,1,0,0,0,0,0,No studies found
Corvus hawaiiensis,Rattus exulans,0,1,0,0,0,0,0,No studies found
Corvus hawaiiensis,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Corvus hawaiiensis,Rattus rattus,0,1,0,0,0,0,0,No studies found
Coturnix novaezelandiae,All rodents,0,1,1,0,0,0,0,All studies are not in support
Coturnix novaezelandiae,Rattus exulans,0,0,1,0,0,0,0,All studies are not in support
Coturnix novaezelandiae,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Coturnix novaezelandiae,Rattus rattus,0,1,0,0,0,0,0,No studies found
Coua delalandei,All rodents,0,1,0,0,0,0,0,No studies found
Coua delalandei,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Coua delalandei,Rattus rattus,0,1,0,0,0,0,0,No studies found
Crithagra concolor,All rodents,0,1,0,0,0,0,0,No studies found
Crithagra concolor,Rattus rattus,0,1,0,0,0,0,0,No studies found
Cyanolimnas cerverai,All rodents,0,1,0,0,0,0,0,No studies found
Cyanolimnas cerverai,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Cyanolimnas cerverai,Rattus rattus,0,1,0,0,0,0,0,No studies found
Cyanoramphus auriceps,All rodents,0,1,1,0,0,0,0,All studies are not in support
Cyanoramphus auriceps,Rattus exulans,0,1,0,0,0,0,0,No studies found
Cyanoramphus auriceps,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Cyanoramphus auriceps,Rattus rattus,0,0,1,0,0,0,0,All studies are not in support
Cyanoramphus malherbi,All rodents,0,1,0,0,0,0,0,No studies found
Cyanoramphus malherbi,Rattus exulans,0,1,0,0,0,0,0,No studies found
Cyanoramphus malherbi,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Cyanoramphus malherbi,Rattus rattus,0,1,0,0,0,0,0,No studies found
Cyanoramphus unicolor,All rodents,0,1,0,0,0,0,0,No studies found
Cyanoramphus unicolor,Mus musculus,0,1,0,0,0,0,0,No studies found
Dendrocygna arborea,All rodents,0,1,1,0,0,0,0,All studies are not in support
Dendrocygna arborea,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Dendrocygna arborea,Rattus rattus,0,0,1,0,0,0,0,All studies are not in support
Dicrurus aldabranus,All rodents,0,1,0,0,0,0,1,Only predation in support
Dicrurus aldabranus,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Dicrurus aldabranus,Rattus rattus,0,0,0,0,0,0,1,Only predation in support
Dicrurus fuscipennis,All rodents,0,1,0,0,0,0,0,No studies found
Dicrurus fuscipennis,Rattus rattus,0,1,0,0,0,0,0,No studies found
Didunculus strigirostris,All rodents,0,1,0,0,0,0,0,No studies found
Didunculus strigirostris,Rattus exulans,0,1,0,0,0,0,0,No studies found
Didunculus strigirostris,Rattus rattus,0,1,0,0,0,0,0,No studies found
Diomedea dabbenena,All rodents,0,1,3,0,0,0,4,Only predation in support
Diomedea dabbenena,Mus musculus,0,0,2,0,0,0,4,Only predation in support
Diomedea dabbenena,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Diomedea dabbenena,Rattus rattus,0,0,1,0,0,0,0,All studies are not in support
Diomedea exulans,All rodents,0,0,0,0,0,0,4,Only predation in support
Diomedea exulans,Mus musculus,0,0,0,0,0,0,4,Only predation in support
Drepanis coccinea,All rodents,0,0,6,0,0,0,0,All studies are not in support
Drepanis coccinea,Rattus exulans,0,0,2,0,0,0,0,All studies are not in support
Drepanis coccinea,Rattus norvegicus,0,0,2,0,0,0,0,All studies are not in support
Drepanis coccinea,Rattus rattus,0,0,2,0,0,0,0,All studies are not in support
Drepanis funerea,All rodents,0,1,0,0,0,0,0,No studies found
Drepanis funerea,Rattus exulans,0,1,0,0,0,0,0,No studies found
Drepanis funerea,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Drepanis funerea,Rattus rattus,0,1,0,0,0,0,0,No studies found
Dryolimnas augusti,All rodents,0,1,0,0,0,0,0,No studies found
Dryolimnas augusti,Rattus rattus,0,1,0,0,0,0,0,No studies found
Ducula aurorae,All rodents,0,0,1,0,0,0,0,All studies are not in support
Ducula aurorae,Rattus rattus,0,0,1,0,0,0,0,All studies are not in support
Ducula galeata,All rodents,0,1,1,0,0,0,0,All studies are not in support
Ducula galeata,Rattus exulans,0,1,0,0,0,0,0,No studies found
Ducula galeata,Rattus rattus,0,0,1,0,0,0,0,All studies are not in support
Ducula pickeringii,All rodents,0,1,0,0,0,0,0,No studies found
Ducula pickeringii,Rattus rattus,0,1,0,0,0,0,0,No studies found
Dysmorodrepanis munroi,All rodents,0,1,0,0,0,0,0,No studies found
Dysmorodrepanis munroi,Rattus exulans,0,1,0,0,0,0,0,No studies found
Dysmorodrepanis munroi,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Dysmorodrepanis munroi,Rattus rattus,0,1,0,0,0,0,0,No studies found
Elaenia ridleyana,All rodents,0,1,0,0,0,0,0,No studies found
Elaenia ridleyana,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Elaenia ridleyana,Rattus rattus,0,1,0,0,0,0,0,No studies found
Emberiza jankowskii,All rodents,0,0,0,0,0,0,2,Only predation in support
Emberiza jankowskii,Rattus norvegicus,0,0,0,0,0,0,1,Only predation in support
Emberiza jankowskii,Rattus rattus,0,0,0,0,0,0,1,Only predation in support
Emberiza socotrana,All rodents,0,1,0,0,0,0,0,No studies found
Emberiza socotrana,Rattus rattus,0,1,0,0,0,0,0,No studies found
Eudyptes chrysolophus,All rodents,0,1,0,0,0,0,0,No studies found
Eudyptes chrysolophus,Mus musculus,0,1,0,0,0,0,0,No studies found
Eudyptes chrysolophus,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Eudyptes moseleyi,All rodents,0,0,4,0,0,0,0,All studies are not in support
Eudyptes moseleyi,Mus musculus,0,0,1,0,0,0,0,All studies are not in support
Eudyptes moseleyi,Rattus norvegicus,0,0,1,0,0,0,0,All studies are not in support
Eudyptes moseleyi,Rattus rattus,0,0,2,0,0,0,0,All studies are not in support
Eudyptes pachyrhynchus,All rodents,0,1,0,0,0,0,0,No studies found
Eudyptes pachyrhynchus,Rattus exulans,0,1,0,0,0,0,0,No studies found
Eudyptes pachyrhynchus,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Eudyptes pachyrhynchus,Rattus rattus,0,1,0,0,0,0,0,No studies found
Eunymphicus cornutus,All rodents,0,0,0,0,0,0,1,Only predation in support
Eunymphicus cornutus,Rattus rattus,0,0,0,0,0,0,1,Only predation in support
Eurostopodus exul,All rodents,0,1,0,0,0,0,0,No studies found
Eurostopodus exul,Rattus exulans,0,1,0,0,0,0,0,No studies found
Eurostopodus exul,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Eurostopodus exul,Rattus rattus,0,1,0,0,0,0,0,No studies found
Falco araeus,All rodents,0,1,0,0,0,0,0,No studies found
Falco araeus,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Falco araeus,Rattus rattus,0,1,0,0,0,0,0,No studies found
Falco punctatus,All rodents,0,0,0,0,0,0,1,Only predation in support
Falco punctatus,Rattus rattus,0,0,0,0,0,0,1,Only predation in support
Ferminia cerverai,All rodents,0,1,0,0,0,0,0,No studies found
Ferminia cerverai,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Ferminia cerverai,Rattus rattus,0,1,0,0,0,0,0,No studies found
Foudia aldabrana,All rodents,0,0,0,0,0,0,1,Only predation in support
Foudia aldabrana,Rattus rattus,0,0,0,0,0,0,1,Only predation in support
Foudia consobrina,All rodents,0,1,0,0,0,0,0,No studies found
Foudia consobrina,Rattus rattus,0,1,0,0,0,0,0,No studies found
Foudia delloni,All rodents,0,1,0,0,0,0,0,No studies found
Foudia delloni,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Foudia flavicans,All rodents,0,0,1,0,0,0,1,Only predation in support
Foudia flavicans,Rattus rattus,0,0,1,0,0,0,1,Only predation in support
Foudia rubra,All rodents,0,0,0,0,0,0,1,Only predation in support
Foudia rubra,Rattus rattus,0,0,0,0,0,0,1,Only predation in support
Fratercula arctica,All rodents,0,0,2,1,2,0,2,Population study with data in support
Fratercula arctica,Rattus norvegicus,0,0,1,1,1,0,1,Population study with data in support
Fratercula arctica,Rattus rattus,0,0,1,0,1,0,1,Population study without data in support
Fregata aquila,All rodents,0,1,0,0,0,0,0,No studies found
Fregata aquila,Rattus rattus,0,1,0,0,0,0,0,No studies found
Fregetta maoriana,All rodents,0,1,0,0,0,0,0,No studies found
Fregetta maoriana,Rattus exulans,0,1,0,0,0,0,0,No studies found
Fringilla polatzeki,All rodents,0,0,2,0,0,0,0,All studies are not in support
Fringilla polatzeki,Rattus norvegicus,0,0,1,0,0,0,0,All studies are not in support
Fringilla polatzeki,Rattus rattus,0,0,1,0,0,0,0,All studies are not in support
Fulica alai,All rodents,0,1,0,0,0,0,0,No studies found
Fulica alai,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Fulica alai,Rattus rattus,0,1,0,0,0,0,0,No studies found
Gallinula comeri,All rodents,0,0,1,0,0,0,0,All studies are not in support
Gallinula comeri,Rattus rattus,0,0,1,0,0,0,0,All studies are not in support
Gallinula nesiotis,All rodents,0,0,1,0,0,0,0,All studies are not in support
Gallinula nesiotis,Rattus rattus,0,0,1,0,0,0,0,All studies are not in support
Gallirallus lafresnayanus,All rodents,0,1,0,0,0,0,0,No studies found
Gallirallus lafresnayanus,Rattus exulans,0,1,0,0,0,0,0,No studies found
Gallirallus lafresnayanus,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Gallirallus lafresnayanus,Rattus rattus,0,1,0,0,0,0,0,No studies found
Geospiza heliobates,All rodents,0,0,0,1,0,0,0,Population study with data in support
Geospiza heliobates,Rattus rattus,0,0,0,1,0,0,0,Population study with data in support
Geospiza pauper,All rodents,0,1,0,0,0,0,0,No studies found
Geospiza pauper,Rattus rattus,0,1,0,0,0,0,0,No studies found
Geospiza psittacula,All rodents,0,1,0,0,0,0,0,No studies found
