scientificName,Article,Article_secondary_same_data,Evidence_category,Evidence_effect,Evidence_method,Study_rodent_final,Exclude_row,Sample_size_greater_than_1,Predation_type,Sample_size_nests_monitored,Hypothesis_supported,Percent_nests_or_individuals_predated,Predator_and_prey_population_data,Experiment_control_site_or_spatial_variation,Note_experiment_sample_size,Experiment_confounding_variables_included,Experiment_BACI,Study_location,Latitude,Longitude,Island_name,Archipelago,Region,Country,Study_notes,Study_ID,Reported_study_rodent,Study_rodent_notes,key
Ardenna carneipes,"Barbraud, C., Delord, K., Le Bouard, F., Harivel, R., Demay, J., Chaigne, A. and Micol, T., 2021. Seabird population changes following mammal eradication at oceanic Saint-Paul Island, Indian Ocean. Journal for Nature Conservation, 63, p.126049.",NA,Population,Abundance,Timing,Rattus rattus,,,NA,NA,1,,0,NA,NA,NA,NA,Saint-Paul Island,-41.391199999999998,174.5222,titi,Marlborough Sound,Pacific Ocean - South West,New Zealand,"Tables 2,3. ""Estimated from a total number of burrows with signs of occupation obtained from adaptive cluster sampling (i.e. 74) and entire sampling (i.e. 1928). Note that the [1985 pre-eradication] estimate does not account for burrow detection probability. λ estimated using the observed number of burrows in 2018 (1484, i.e. without correction for detection probability) was 1.03"". Due to data discrepency and ""estimations"" defined as no data.",46,Rattus rattus,,Ardenna carneipes_Rattus rattus
Ardenna grisea,"Miskelly, C.M., Bishop, C.R., Greene, T.C., Rickett, J.E.N.N.Y., Taylor, G.A. and Tennyson, A.J., 2020. Breeding petrels of Breaksea and Dusky Sounds, Fiordland; responses to three decades of predator control. Notornis, 67, pp.543-557.",NA,Population,Abundance,Timing,Rattus norvegicus,,,NA,NA,1,,0,NA,NA,NA,NA,Hāwea Island,-45.591299999999997,166.64410000000001,hawea,Breaksea Sound,Pacific Ocean - South West,New Zealand,"""Rat eradication is also expected to lead to increased colony size (and reduced clustering) of remnant petrel colonies that survived the presence of rats (Jones 2010; Buxton et al. 2016). This was most apparent on Hāwea Island, where the 40–100 sooty shearwater burrows estimated in April 1986 (G. Taylor pers. obs.) had increased more than 50-fold to an estimated 5,400 burrows in 2019. Population modelling indicates that this large increase over the 33 years since rat eradication could potentially have occurred with minimal immigration, provided productivity and survival rates were close to the maximum recorded for petrel populations in the absence of predation (c. 50% of eggs producing breeding adults recruiting to their natal population, with 90% of pairs persisting between years; authors’ unpubl. data).""",48,Rattus norvegicus,,Ardenna grisea_Rattus norvegicus
Branta sandvicensis,"VanderWerf, E. A. 2012. Hawaiian Bird Conservation Action Plan: NWHI Passerines. Honolulu, Hawaii http://large.stanford.edu/courses/2017/ph241/lewis1/docs/HBCAP_complete1.pdf",BirdLife International. 2021. Branta sandvicensis. The IUCN Red List of Threatened Species 2021: e.T22679929A194369606. https://dx.doi.org/10.2305/IUCN.UK.2021-3.RLTS.T22679929A194369606.en. Accessed on 10 February 2024.,Predation,Predation,Predation,Rattus rattus,,,"Eggs, chicks, adults",NA,1,,0,NA,NA,NA,NA,Hawaii,19.898700000000002,-155.66589999999999,hawaiʻi,Hawaiian Islands,Pacific Ocean - North East,United States,"""Predators known to take Nēnē eggs, goslings, or adults include dogs (Canis familiaris), feral pigs (Sus scrofa), feral cats (Felis catus), small Indian mongooses (Herpestes auropunctatus), and black, Norway, and Pacific rats (R. rattus, norvegicus, and exulans, respectively) (Hoshide et al. 1990, Baker and Baker 1996)."" + ""Eggs are also predated by Black, Norway and Pacific Rats (USFWS 2004).""",52,"Rattus rattus, Rattus norvegicus, Rattus exulans",,Branta sandvicensis_Rattus rattus
Branta sandvicensis,"VanderWerf, E. A. 2012. Hawaiian Bird Conservation Action Plan: NWHI Passerines. Honolulu, Hawaii http://large.stanford.edu/courses/2017/ph241/lewis1/docs/HBCAP_complete1.pdf",BirdLife International. 2021. Branta sandvicensis. The IUCN Red List of Threatened Species 2021: e.T22679929A194369606. https://dx.doi.org/10.2305/IUCN.UK.2021-3.RLTS.T22679929A194369606.en. Accessed on 10 February 2024.,Predation,Predation,Predation,Rattus norvegicus,,,"Eggs, chicks, adults",NA,1,,0,NA,NA,NA,NA,Hawaii,19.898700000000002,-155.66589999999999,hawaiʻi,Hawaiian Islands,Pacific Ocean - North East,United States,"""Predators known to take Nēnē eggs, goslings, or adults include dogs (Canis familiaris), feral pigs (Sus scrofa), feral cats (Felis catus), small Indian mongooses (Herpestes auropunctatus), and black, Norway, and Pacific rats (R. rattus, norvegicus, and exulans, respectively) (Hoshide et al. 1990, Baker and Baker 1996)."" + ""Eggs are also predated by Black, Norway and Pacific Rats (USFWS 2004).""",52,"Rattus rattus, Rattus norvegicus, Rattus exulans",,Branta sandvicensis_Rattus norvegicus
Branta sandvicensis,"VanderWerf, E. A. 2012. Hawaiian Bird Conservation Action Plan: NWHI Passerines. Honolulu, Hawaii http://large.stanford.edu/courses/2017/ph241/lewis1/docs/HBCAP_complete1.pdf",BirdLife International. 2021. Branta sandvicensis. The IUCN Red List of Threatened Species 2021: e.T22679929A194369606. https://dx.doi.org/10.2305/IUCN.UK.2021-3.RLTS.T22679929A194369606.en. Accessed on 10 February 2024.,Predation,Predation,Predation,Rattus exulans,,,"Eggs, chicks, adults",NA,1,,0,NA,NA,NA,NA,Hawaii,19.898700000000002,-155.66589999999999,hawaiʻi,Hawaiian Islands,Pacific Ocean - North East,United States,"""Predators known to take Nēnē eggs, goslings, or adults include dogs (Canis familiaris), feral pigs (Sus scrofa), feral cats (Felis catus), small Indian mongooses (Herpestes auropunctatus), and black, Norway, and Pacific rats (R. rattus, norvegicus, and exulans, respectively) (Hoshide et al. 1990, Baker and Baker 1996)."" + ""Eggs are also predated by Black, Norway and Pacific Rats (USFWS 2004).""",52,"Rattus rattus, Rattus norvegicus, Rattus exulans",,Branta sandvicensis_Rattus exulans
Callaeas cinereus,"Flux, I., Bradfield, P. and Innes, J., 2006. Breeding biology of North Island kokako (Callaeas cinerea wilsoni) at Mapara wildlife management reserve, King Country, New Zealand. Notornis, 53(2), p.199.",NA,Predation,Predation,Predation,Rattus rattus,,,"Eggs, chicks",NA,1,,0,NA,NA,NA,NA,Mapara,-38.7425,175.62860000000001,north,Lake Rotomahana,Pacific Ocean - South West,New Zealand,"Only abstract located online ""Predation of eggs and chicks by ship rats (Rattus rattus) and brush-tailed possums (Trichosurus vulpecula) was the main cause of nest failure, whereas deaths of nesting adult females mostly caused be stoats (Mustela erminea).""",55,Rattus rattus,,Callaeas cinereus_Rattus rattus
Callaeas cinereus,"Innes, J., Hay, R., Flux, I., Bradfield, P., Speed, H. and Jansen, P., 1999. Successful recovery of North Island kokako Callaeas cinerea wilsoni populations, by adaptive management. Biological conservation, 87(2), pp.201-214.",NA,Population,Abundance,Spatiotemporal,Rattus rattus,,1,NA,NA,1,,1,1,4 sites,1,0,Mapara,-38.7425,175.62860000000001,north,Lake Rotomahana,Pacific Ocean - South West,New Zealand,"Fig 3,5,7,9",56,Rattus rattus,,Callaeas cinereus_Rattus rattus
Callaeas cinereus,"Innes, J., Hay, R., Flux, I., Bradfield, P., Speed, H. and Jansen, P., 1999. Successful recovery of North Island kokako Callaeas cinerea wilsoni populations, by adaptive management. Biological conservation, 87(2), pp.201-214.",NA,Predation,Predation,Predation,Rattus rattus,,,Unknown,181,1,,NA,NA,NA,NA,NA,Mapara,-38.7425,175.62860000000001,north,Lake Rotomahana,Pacific Ocean - South West,New Zealand,"Fig 6 ""fates of kokako nesting attempts"" includes failures to rats. Percentages provided in pie chart",57,Rattus rattus,,Callaeas cinereus_Rattus rattus
Catharus bicknelli,"Townsend, J. M., Rimmer, C. C., Brocca, J., McFarland, K. P. and Townsend, A. K. (2009) Predation of a wintering migratory songbird by introduced rats: can nocturnal roosting behavior serve as predator avoidance? Condor 111: 565–569.",NA,Predation,Predation,Predation,Rattus rattus,,,Adults,53,1,9,0,NA,NA,NA,NA,"Pueblo Viejo and Loma La Canela, Dominican Republic",18.401,-70.765900000000002,dominican republic,Greater Antilles,Caribbean,Dominican Republic,"""Depredation by introduced rats was the only cause of mortality among 53 radio-tagged individuals monitored between January and March over multiple years; five (9%) marked individuals were depredated.""",63,"Rattus rattus, Rattus norvegicus",,Catharus bicknelli_Rattus rattus
Catharus bicknelli,"Townsend, J. M., Rimmer, C. C., Brocca, J., McFarland, K. P. and Townsend, A. K. (2009) Predation of a wintering migratory songbird by introduced rats: can nocturnal roosting behavior serve as predator avoidance? Condor 111: 565–569.",NA,Predation,Predation,Predation,Rattus norvegicus,,,Adults,53,1,9,0,NA,NA,NA,NA,"Pueblo Viejo and Loma La Canela, Dominican Republic",18.401,-70.765900000000002,dominican republic,Greater Antilles,Caribbean,Dominican Republic,"""Depredation by introduced rats was the only cause of mortality among 53 radio-tagged individuals monitored between January and March over multiple years; five (9%) marked individuals were depredated.""",63,"Rattus rattus, Rattus norvegicus",,Catharus bicknelli_Rattus norvegicus
Charadrius obscurus,"Dowding, J.E. and Murphy, E.C., 1993. Decline of the Stewart Island population of the New Zealand dotterel. Notornis, 40(1), p.1ò14.",NA,Population,Abundance,Timing,Rattus rattus,,,NA,NA,0,,0,NA,NA,NA,NA,Stewart Island,-37.583199999999998,176.0428,matakana,Bay of Plenty,Pacific Ocean - South West,New Zealand,"""Why predation is having such an impact now is not clear. Cats (and rats) have probably been on Stewart Island for 150 years or more; if they had been killing dotterels at the present rate for long, the population should have disappeared many years ago.""",65,Rattus rattus,,Charadrius obscurus_Rattus rattus
Charadrius obscurus,"Wills, D.E., 2003. Impact of management on the breeding success of the northern New Zealand Dotterel (Charadrius obscurus aquilonius) on Matakana Island, Bay of Plenty. Notornis, 50, pp.1-10.",NA,Population,Reproductive success,Temporal,Rattus norvegicus,,0,NA,NA,0,,1,0,1,1,0,Matakana Island,-37.583199999999998,176.0428,matakana,Bay of Plenty,Pacific Ocean - South West,New Zealand,Tables 2-4. No statistical analysis provided,66,Rattus norvegicus,,Charadrius obscurus_Rattus norvegicus
Charadrius obscurus,"Wills, D.E., 2003. Impact of management on the breeding success of the northern New Zealand Dotterel (Charadrius obscurus aquilonius) on Matakana Island, Bay of Plenty. Notornis, 50, pp.1-10.",NA,Predation,Predation,Predation,Rattus norvegicus,,,"Eggs, chicks",276,1,2.9,NA,NA,NA,NA,NA,Matakana Island,-47.010300000000001,167.8272,stewart (rakiura),Stewart Islands,Pacific Ocean - South West,New Zealand,"Tables 5 ""cause of breeding failure"" includes Norway rats",67,Rattus norvegicus,,Charadrius obscurus_Rattus norvegicus
Charadrius sanctaehelenae,"Burns, F., McCulloch, N., Székely, T. and Bolton, M., 2013. The impact of introduced predators on an island endemic, the St Helena Plover, Charadrius sanctaehelenae. Bird Conservation International, 23(2), pp.125-135.",NA,Predation,Predation,Predation,Rattus rattus,,,Eggs,29,1,10.3,0,NA,NA,NA,NA,Saint Helena Island,-27.385200000000001,153.2345,saint helena,Queensland Islands,Pacific Ocean - South West,Australia,Figure 1,68,"Rattus rattus, Rattus norvegicus",,Charadrius sanctaehelenae_Rattus rattus
Charadrius sanctaehelenae,"Burns, F., McCulloch, N., Székely, T. and Bolton, M., 2013. The impact of introduced predators on an island endemic, the St Helena Plover, Charadrius sanctaehelenae. Bird Conservation International, 23(2), pp.125-135.",NA,Predation,Predation,Predation,Rattus norvegicus,,,Eggs,29,1,10.3,0,NA,NA,NA,NA,Saint Helena Island,-27.385200000000001,153.2345,saint helena,Queensland Islands,Pacific Ocean - South West,Australia,Figure 1,68,"Rattus rattus, Rattus norvegicus",,Charadrius sanctaehelenae_Rattus norvegicus
Charadrius sanctaehelenae,"Oppel, S., Burns, F., Vickery, J., George, K., Ellick, G., Leo, D. and Hillman, J.C., 2014. Habitat‐specific effectiveness of feral cat control for the conservation of an endemic ground‐nesting bird species. Journal of Applied Ecology, 51(5), pp.1246-1254.",NA,Population,Reproductive success,Spatiotemporal,Rattus rattus,,,NA,NA,0,,1,NA,NA,NA,NA,Saint Helena Island,-27.385200000000001,153.2345,saint helena,Queensland Islands,Pacific Ocean - South West,Australia,"Figure 1, 2",69,"Rattus rattus, Rattus norvegicus",,Charadrius sanctaehelenae_Rattus rattus
Charadrius sanctaehelenae,"Oppel, S., Burns, F., Vickery, J., George, K., Ellick, G., Leo, D. and Hillman, J.C., 2014. Habitat‐specific effectiveness of feral cat control for the conservation of an endemic ground‐nesting bird species. Journal of Applied Ecology, 51(5), pp.1246-1254.",NA,Population,Reproductive success,Spatiotemporal,Rattus norvegicus,,,NA,NA,0,,1,NA,NA,NA,NA,Saint Helena Island,-27.385200000000001,153.2345,saint helena,Queensland Islands,Pacific Ocean - South West,Australia,"Figure 1, 2",69,"Rattus rattus, Rattus norvegicus",,Charadrius sanctaehelenae_Rattus norvegicus
Chasiempis ibidis,"Banko, P.C., Jaenecke, K.A., Peck, R.W. and Brinck, K.W., 2019. Increased nesting success of Hawaii Elepaio in response to the removal of invasive black rats. The Condor, 121(2), p.duz003.",NA,Population,Reproductive success,Spatiotemporal,Rattus rattus,,1,NA,NA,1,,1,1,2 pairs of sites,1,1,O’ahu,21.4389,-158.0001,o‘ahu,Hawaiian Islands,Pacific Ocean - North East,United States,"""We assessed the response of Hawaii Elepaio to reduced [rat] abundance using a before-after-control-impact (BACI) study design to compare nest success and nest daily survival rates"" ""The daily survival rate (DSR) of nests (n = 191) was greater on treated plots after rodenticide application (mean ± SE = 0.980 ± 0.004 treatment; 0.964 ± 0.004 nontreatment), mod- eled nest success increased from 29% to 50%, and apparent nest success (number of successful nests per total nests) increased from 37% to 52%.""",72,Rattus rattus,,Chasiempis ibidis_Rattus rattus
Chasiempis ibidis,"Banko, P.C., Jaenecke, K.A., Peck, R.W. and Brinck, K.W., 2019. Increased nesting success of Hawaii Elepaio in response to the removal of invasive black rats. The Condor, 121(2), p.duz003.","VanderWerf, E. A. 2012. Hawaiian Bird Conservation Action Plan: NWHI Passerines. Honolulu, Hawaii http://large.stanford.edu/courses/2017/ph241/lewis1/docs/HBCAP_complete1.pdf",Predation,Predation,Predation,Rattus rattus,,,"Eggs, chicks, adults",191,1,24,0,NA,NA,NA,NA,O’ahu,21.4389,-158.0001,o‘ahu,Hawaiian Islands,Pacific Ocean - North East,United States,"""We considered the cause of nest failure to be rat predation at 46 (24%) of 191 nests, based on evidence from in-person nest checks and surveillance cameras"". Second REF: ""The most serious threat to the species is predation on nests by alien rats, which take eggs, chicks, and even incubating females""",73,Rattus rattus,,Chasiempis ibidis_Rattus rattus
Chasiempis ibidis,"Vanderwerf, E.A., 2009. Importance of nest predation by alien rodents and avian poxvirus in conservation of Oahu Elepaio. The Journal of Wildlife Management, 73(5), pp.737-746.","Vanderwerf, E.A. and Smith, D.G., 2002. Effects of alien rodent control on demography of the O'ahu'Elepaio, an endangered Hawaiian forest bird. Pacific Conservation Biology, 8(2), pp.73-81.",Population,Abundance,Timing,Rattus rattus,,,NA,NA,1,,0,NA,NA,NA,NA,O’ahu,21.4389,-158.0001,o‘ahu,Hawaiian Islands,Pacific Ocean - North East,United States,"""Introduced predators including feral cats, Polynesian rat Rattus exulans and possibly black rat R. rattus were present on the island at the time of the species's demise, and may have contributed to declines""",74,Rattus rattus,,Chasiempis ibidis_Rattus rattus
Chasiempis ibidis,"VanderWerf, E.A., Mosher, S.M., Burt, M.D., Taylor, P.E. and Sailer, D., 2011. Variable efficacy of rat control in conserving O ‘ahu ‘Elepaio populations. In Proceedings of the Island Invasives: Eradication and Management Conference.",NA,Population,Reproductive success,Spatiotemporal,Rattus rattus,,1,NA,NA,1,,1,1,7 sites,0,1,O’ahu,21.4389,-158.0001,o‘ahu,Hawaiian Islands,Pacific Ocean - North East,United States,"""Rat control resulted in overall improvements in elepaio fecundity (50%), female survival (10%), and population growth (18%), but efficacy varied among sites, and performance was related to effort. Elepaio continued to decline at some sites despite rat control.""",75,Rattus rattus,,Chasiempis ibidis_Rattus rattus
Chasiempis sclateri,"Hammond, R.L., 2016. Daily survival rate of nests is lower in fruiting than non-fruiting tree species for a Hawaiian forest bird, the Kaua̒i ̒elepaio (Chasiempis sclateri). The Wilson Journal of Ornithology, 128(3), pp.584-592.",NA,Predation,Predation,Predation,Rattus rattus,,,NA,NA,0,,0,NA,NA,NA,NA,Kauai,22.096399999999999,-159.52610000000001,kauai,Hawaiian Islands,Pacific Ocean - North East,United States,"""My results support the hypothesis that tree reproductive strategy may contribute to the variability in DSR, but I did not have evidence (e.g., pictures) that the non-native black rat (Rattus rattus) was the primary predator in this study.""",76,Rattus rattus,,Chasiempis sclateri_Rattus rattus
Chlidonias albostriatus,"Bell, M., 2017. Population size, breeding success and predators of black-fronted tern (Chlidonias albostriatus) in the Upper Clarence River catchment, New Zealand. Notornis, 64(3), pp.154-161.",NA,Predation,Predation,Predation,Rattus rattus,,,Eggs,1510,1,4.78,0,NA,NA,NA,NA,Clarence River,-42.10389,172.71610999999999,south,Nelson Islands,Pacific Ocean - South West,New Zealand,"""A total of 1,510 breeding attempts were followed""…""37.6% of nests preyed upon""… Of predated nests (110 sample) 12.7% were black rats (0 Norway rats) Table 3",78,Rattus rattus,,Chlidonias albostriatus_Rattus rattus
Chlidonias albostriatus,"Bell, M., 2017. Population size, breeding success and predators of black-fronted tern (Chlidonias albostriatus) in the Upper Clarence River catchment, New Zealand. Notornis, 64(3), pp.154-161.",NA,Predation,Predation,Predation,Rattus norvegicus,,,Eggs,1510,0,0,0,NA,NA,NA,NA,Clarence River,-42.10389,172.71610999999999,south,Nelson Islands,Pacific Ocean - South West,New Zealand,"""A total of 1,510 breeding attempts were followed""…""37.6% of nests preyed upon""… Of predated nests (110 sample) 12.7% were black rats (0 Norway rats) Table 3",79,Rattus norvegicus,,Chlidonias albostriatus_Rattus norvegicus
Chlidonias albostriatus,"Steffens, K.E., Sanders, M.D., Gleenson, D.M., Pullen, K.M. and Stowe, C.J., 2012. Identification of predators at black-fronted tern Chlidonias albostriatus nests, using mtDNA analysis and digital video recorders. New Zealand Journal of Ecology, pp.48-55.",NA,Predation,Predation,Predation,Rattus rattus,,,Eggs,85,1,2.35,0,NA,NA,NA,NA,Wairau,-44.328883840000003,170.17864589999999,south,Lake Hawea,Pacific Ocean - South West,New Zealand,"""digital video surveillance of 85 nests...ship rats (Rattus rattus; 2/19)",80,Rattus rattus,,Chlidonias albostriatus_Rattus rattus
Chlidonias albostriatus,"Keedwell, R.J., 2005. Breeding biology of Black-fronted Terns (Sterna albostriata) and the effects of predation. Emu-Austral Ornithology, 105(1), pp.39-47.",NA,Predation,Predation,Predation,Rattus norvegicus,,,Unknown,1022,0,0,0,NA,NA,NA,NA,Ohau River,-44.328883840000003,170.17864589999999,south,Lake Hawea,Pacific Ocean - South West,New Zealand,"""1022 nests…"" rats not identified among predators",81,Rattus norvegicus,,Chlidonias albostriatus_Rattus norvegicus
Chlidonias albostriatus,"Keedwell, R.J., Sanders, M.D., Alley, M. and Twentyman, C., 2002. Causes of mortality of black-fronted terns Sterna albostriata on the Ohau River, South Island, New Zealand. Pacific Conservation Biology, 8(3), pp.170-176.",NA,Predation,Predation,Predation,Rattus norvegicus,,,"Chicks, adult",NA,1,,0,NA,NA,NA,NA,Ohau River,-41.565300000000001,173.52860000000001,south,Nelson Islands,Pacific Ocean - South West,New Zealand,"""Norway Rats were not observed killing terns. However, on four occasions over two-thirds of the chicks and some juveniles in a colony dizappeared in less than a week, coinciding with the appearance of rat-eaten remains (Keedwell 2002). The remains of 36 terns were classified as possible rat predations based on the location of and evidence on the carcass, and the presence of Norway Rat faecal pellets.""",82,Rattus norvegicus,,Chlidonias albostriatus_Rattus norvegicus
Cinclodes antarcticus,"Tabak, M.A., Poncet, S., Passfield, K., Goheen, J.R. and Martinez del Rio, C., 2016. The ghost of invasives past: rat eradication and the community composition and energy flow of island bird communities. Ecosphere, 7(8), p.e01442.",NA,Population,Abundance,Spatiotemporal,Rattus norvegicus,,1,NA,NA,1,,1,1,"35, 57, 67 islands",0,1,Falkland Islands,-51.796300000000002,-59.523600000000002,falkland,Falkland Islands (High Cliff Island Group),Atlantic Ocean - South,Falkland Islands (Malvinas),"Islands without rats have the most cinclodes, then islands where rats were eradicated and lastly islands with rats. Sample size of islands is high (35-67 per category) AND positive correlation between time since eradication and cinclodes abundance.",84,Rattus norvegicus,,Cinclodes antarcticus_Rattus norvegicus
