Avonet_Species,Genus,Family,Order,Habitat,Primary.Lifestyle,Mass,Status,Source,scientificName,Bird_Type_Coarse,Volancy,IslandEndemic,Volancy_Source,Migratory_status,Extent_of_occurrence_km2,Generation_length_yrs,Neartic,Paleartic,Afrotropical,Neotropical,Indomalayan,Australasian,Oceanic,Breeding_Distribution,Number_islands_extant,Parasite,Mound,NestSite_ground,NestSite_tree,NestSite_nontree,NestSite_cliff_bank,NestSite_underground,NestSite_waterbody,NestSite_termite_ant,Bird_Type
Pterodroma phaeopygia,Pterodroma,Procellariidae,Procellariiformes,Marine,Generalist,400.813333333333,Extant,,Pterodroma phaeopygia,Seabirds,Volant,No,Sayol et al. 2020 Sci Adv,full migrant,16800000,19.8,0,0,0,1,0,1,1,Islands,5,0,0,0,0,0,1,0,0,0,Seabirds
Pterodroma pycrofti,Pterodroma,Procellariidae,Procellariiformes,Marine,Generalist,159,Extant,,Pterodroma pycrofti,Seabirds,Volant,No,Sayol et al. 2020 Sci Adv,full migrant,98900000,11,1,0,0,0,0,1,1,,,0,0,0,0,0,0,1,0,0,Seabirds
Pterodroma sandwichensis,Pterodroma,Procellariidae,Procellariiformes,Marine,Generalist,400.813333333333,Extant,,Pterodroma sandwichensis,Seabirds,Volant,Yes,Sayol et al. 2020 Sci Adv,full migrant,22000000,19.8,1,0,0,0,0,1,1,,,0,0,0,0,0,1,0,0,0,Seabirds
Ptilinopus chrysogaster,Ptilinopus,Columbidae,Columbiformes,Forest,Insessorial,97.55,Extant,,Ptilinopus chrysogaster,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,Landbirds
Ptilinopus coralensis,Ptilinopus,Columbidae,Columbiformes,Forest,Terrestrial,83.2266666666667,Extant,,Ptilinopus coralensis,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,Landbirds
Ptilinopus huttoni,Ptilinopus,Columbidae,Columbiformes,Forest,Insessorial,130,Extant,,Ptilinopus huttoni,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Ptilinopus mercierii,Ptilinopus,Columbidae,Columbiformes,Forest; Woodland,Insessorial; Terrestrial,130.756216216216,Extinct,Genus average,Ptilinopus mercierii,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Ptychoramphus aleuticus,Ptychoramphus,Alcidae,Charadriiformes,Marine,Aquatic,184,Extant,,Ptychoramphus aleuticus,Landbirds,Volant,No,Sayol et al. 2020 Sci Adv,not a migrant,8620000,7.6,1,0,0,0,0,0,0,,,0,0,1,0,0,1,1,0,0,Landbirds
Puffinus bannermani,Puffinus,Procellariidae,Procellariiformes,Marine,Aquatic,192.78,Extant,,Puffinus bannermani,Seabirds,Volant,Yes,Sayol et al. 2020 Sci Adv,full migrant,1380000,22.3,0,0,0,0,0,1,0,,,0,0,0,0,0,1,1,0,0,Seabirds
Puffinus bryani,Puffinus,Procellariidae,Procellariiformes,NA,Generalist,147,Extant,,Puffinus bryani,Seabirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,Seabirds
Puffinus heinrothi,Puffinus,Procellariidae,Procellariiformes,Marine,Generalist,192.76,Extant,,Puffinus heinrothi,Seabirds,Volant,No,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Seabirds
Puffinus mauretanicus,Puffinus,Procellariidae,Procellariiformes,Marine,Generalist,497,Extant,,Puffinus mauretanicus,Seabirds,Volant,No,Sayol et al. 2020 Sci Adv,full migrant,7120000,15,0,1,0,0,0,1,0,Islands,18,0,0,0,0,0,1,0,0,0,Seabirds
Puffinus myrtae,Puffinus,Procellariidae,Procellariiformes,Marine,Generalist,350.8,Extant,,Puffinus myrtae,Seabirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,Seabirds
Puffinus newelli,Puffinus,Procellariidae,Procellariiformes,Marine,Generalist,350.8,Extant,,Puffinus newelli,Seabirds,Volant,Yes,Sayol et al. 2020 Sci Adv,full migrant,25600000,15.5,0,0,0,0,0,0,1,Islands,6,0,0,0,0,0,1,0,0,0,Seabirds
Puffinus opisthomelas,Puffinus,Procellariidae,Procellariiformes,Marine,Generalist,408,Extant,,Puffinus opisthomelas,Seabirds,Volant,No,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,0,0,0,0,0,1,1,0,0,Seabirds
Puffinus yelkouan,Puffinus,Procellariidae,Procellariiformes,Marine,Generalist,497,Extant,,Puffinus yelkouan,Seabirds,Volant,No,Sayol et al. 2020 Sci Adv,full migrant,5480000,18,0,1,0,0,0,0,0,,,0,0,0,0,0,1,1,0,0,Seabirds
Pyrocephalus dubius,Pyrocephalus,Tyrannidae,Passeriformes,Woodland,Insessorial,14.4,Extinct,Genus average,Pyrocephalus dubius,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Pyrrhula murina,Pyrrhula,Fringillidae,Passeriformes,Woodland,Insessorial,30,Extant,,Pyrrhula murina,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,160,4.8,0,1,0,0,0,0,0,Islands,1,0,0,0,1,0,0,0,0,0,Landbirds
Rallus semiplumbeus,Rallus,Rallidae,Gruiformes,Wetland,Terrestrial,84.1,Extant,,Rallus semiplumbeus,Landbirds,Volant,No,Sayol et al. 2020 Sci Adv,not a migrant,11200,4.6,0,0,0,1,0,0,0,,,,,,,,,,,,Landbirds
Ramphocinclus brachyurus,Ramphocinclus,Mimidae,Passeriformes,Shrubland,Terrestrial,50,Extant,,Ramphocinclus brachyurus,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,470,4.9,0,0,0,1,0,0,0,Islands,2,0,0,0,1,1,0,0,0,0,Landbirds
Rhipidura semirubra,Rhipidura,Rhipiduridae,Passeriformes,Forest,Insessorial,8,Extant,,Rhipidura semirubra,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,1200,4.9,0,0,0,0,0,0,1,,,,,,,,,,,,Landbirds
Rhynochetos jubatus,Rhynochetos,Rhynochetidae,Eurypygiformes,Forest,Terrestrial,859.993333333333,Extant,,Rhynochetos jubatus,Landbirds,Weak flyer,Yes,Sayol et al. 2020 Sci Adv,not a migrant,7100,15,0,0,0,0,0,0,1,Islands,1,0,0,1,0,0,0,0,0,0,Landbirds
Rhyticeros narcondami,Rhyticeros,Bucerotidae,Bucerotiformes,Forest,Insessorial,697.185,Extant,,Rhyticeros narcondami,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,7,19,0,0,0,0,1,1,0,,,0,0,0,1,0,0,0,0,0,Landbirds
Rowettia goughensis,Rowettia,Emberizidae; Thraupidae,Passeriformes,Shrubland,Terrestrial,53,Extant,,Rowettia goughensis,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,70,4.9,0,0,1,0,0,0,0,Islands,1,0,0,0,0,1,1,0,0,0,Landbirds
Saxicola dacotiae,Saxicola,Muscicapidae,Passeriformes,Shrubland,Insessorial,12.2,Extant,,Saxicola dacotiae,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,Landbirds
Sephanoides fernandensis,Sephanoides,Trochilidae,Apodiformes,Forest,Insessorial,8.72,Extant,,Sephanoides fernandensis,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,12,4.2,0,0,0,1,0,0,0,Islands,1,0,0,0,1,0,0,0,0,0,Landbirds
Siphonorhis americana,Siphonorhis,Caprimulgidae,Caprimulgiformes,NA,Aerial,37,Extant,,Siphonorhis americana,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,Islands,1,0,0,1,0,0,0,0,0,0,Landbirds
Siphonorhis brewsteri,Siphonorhis,Caprimulgidae,Caprimulgiformes,Woodland,Aerial,37,Extant,,Siphonorhis brewsteri,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,35900,5.4,0,0,0,1,0,0,0,,,0,0,1,0,0,0,0,0,0,Landbirds
Spheniscus humboldti,Spheniscus,Spheniscidae,Sphenisciformes,Marine,Aquatic,4366.39333333333,Extant,,Spheniscus humboldti,Seabirds,Flightless,No,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,0,0,1,0,0,1,0,0,0,Flightless Seabirds
Spheniscus mendiculus,Spheniscus,Spheniscidae,Sphenisciformes,Marine,Aquatic,1921.87333333333,Extant,,Spheniscus mendiculus,Seabirds,Flightless,Yes,Sayol et al. 2020 Sci Adv,not a migrant,15500,11.2,0,0,0,1,0,0,0,Islands,8,0,0,0,0,0,1,0,0,0,Flightless Seabirds
Sterna striata,Sterna,Laridae,Charadriiformes,Coastal,Aerial,129,Extant,,Sterna striata,Landbirds,Volant,No,Sayol et al. 2020 Sci Adv,full migrant,3060000,10.1,0,0,0,0,0,0,1,,,0,0,1,0,0,0,0,0,0,Landbirds
Strigops habroptila,Strigops,Psittacidae; Strigopidae,Psittaciformes,Forest,Generalist,1732.06666666667,Extant,,Strigops habroptila,Landbirds,Flightless,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,Islands,5,0,0,0,1,0,1,0,0,0,Flightless Landbirds
Synthliboramphus craveri,Synthliboramphus,Alcidae,Charadriiformes,Marine,Aquatic,151,Extant,,Synthliboramphus craveri,Landbirds,Volant,No,Sayol et al. 2020 Sci Adv,not a migrant,549000,12.1,1,0,0,0,0,0,0,,,0,0,1,0,0,1,1,0,0,Landbirds
Synthliboramphus hypoleucus,Synthliboramphus,Alcidae,Charadriiformes,Marine,Aquatic,167,Extant,,Synthliboramphus hypoleucus,Landbirds,Volant,No,Sayol et al. 2020 Sci Adv,not a migrant,469000,12.1,1,0,0,0,0,0,0,,,0,0,0,0,0,1,1,0,0,Landbirds
Synthliboramphus scrippsi,Synthliboramphus,Alcidae,Charadriiformes,Marine,Aquatic,167,Extant,,Synthliboramphus scrippsi,Landbirds,Volant,No,Sayol et al. 2020 Sci Adv,not a migrant,217000,12.1,1,0,0,1,0,0,0,,,0,0,1,0,0,1,0,0,0,Landbirds
Synthliboramphus wumizusume,Synthliboramphus,Alcidae,Charadriiformes,Marine,Aquatic,198,Extant,,Synthliboramphus wumizusume,Landbirds,Volant,No,Sayol et al. 2020 Sci Adv,not a migrant,1310000,12.1,0,1,0,0,0,0,0,,,0,0,0,0,0,1,1,0,0,Landbirds
Tachycineta euchrysea,Tachycineta,Hirundinidae,Passeriformes,Forest,Aerial,17,Extant,,Tachycineta euchrysea,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,8100,4.1,0,0,0,1,0,0,0,,,0,0,0,1,0,1,0,0,0,Landbirds
Telespiza ultima,Telespiza,Fringillidae,Passeriformes,Coastal,Generalist,24.2266666666667,Extant,,Telespiza ultima,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,2,4.9,0,0,0,0,0,0,1,Islands,1,0,0,0,0,0,1,0,0,0,Landbirds
Thalassarche chlororhynchos,Thalassarche,Diomedeidae,Procellariiformes,Marine; NA,Aquatic,2128.82666666667,Extant,,Thalassarche chlororhynchos,Seabirds,Volant,No,Sayol et al. 2020 Sci Adv,full migrant,29100000,23.7,0,0,1,1,0,1,0,Islands,6,0,0,1,0,0,0,0,0,0,Seabirds
Thalassarche chrysostoma,Thalassarche,Diomedeidae,Procellariiformes,Marine,Aquatic,3499.02,Extant,,Thalassarche chrysostoma,Seabirds,Volant,No,Sayol et al. 2020 Sci Adv,full migrant,107000000,30,0,0,1,1,0,1,1,Islands,32,0,0,1,0,0,1,0,0,0,Seabirds
Thalasseus bernsteini,Thalasseus,Laridae,Charadriiformes,Coastal,Aerial,284,Extant,,Thalasseus bernsteini,Landbirds,Volant,No,Sayol et al. 2020 Sci Adv,full migrant,114000,11,0,1,0,0,1,0,1,,,0,0,1,0,0,0,0,0,0,Landbirds
Thalasseus elegans,Thalasseus,Laridae,Charadriiformes,Coastal,Aerial,260,Extant,,Thalasseus elegans,Landbirds,Volant,No,Sayol et al. 2020 Sci Adv,full migrant,240000,10.9,1,0,0,1,0,0,0,,,0,0,1,0,0,0,0,0,0,Landbirds
Thinornis novaeseelandiae,Thinornis,Charadriidae,Charadriiformes,Coastal,Terrestrial,61,Extant,,Thinornis novaeseelandiae,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,29,6.7,0,0,0,0,0,0,1,Islands,6,0,0,1,0,0,1,0,0,0,Landbirds
Todiramphus gambieri,Todiramphus,Alcedinidae,Coraciiformes,Shrubland,Insessorial,39,Extant,,Todiramphus gambieri,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,60,4.8,0,0,0,0,0,1,1,Islands,1,0,0,0,0,1,0,0,0,0,Landbirds
Todiramphus godeffroyi,Todiramphus,Alcedinidae,Coraciiformes,Forest,Insessorial,63.3666666666667,Extant,,Todiramphus godeffroyi,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,71,4.8,0,0,0,0,0,0,1,Islands,1,0,0,0,1,1,0,0,0,0,Landbirds
Todiramphus pelewensis,Todiramphus,Alcedinidae,Coraciiformes,Forest,Insessorial,62.2,Extant,,Todiramphus pelewensis,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,1500,4.8,0,0,0,0,0,1,0,,,0,0,0,1,0,0,0,0,0,Landbirds
Todiramphus tutus,Todiramphus,Alcedinidae,Coraciiformes,Forest,Insessorial,42.3133333333333,Extant,,Todiramphus tutus,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,146000,4.8,0,0,0,0,0,1,1,,,0,0,0,1,0,0,0,0,0,Landbirds
Treron griveaudi,Treron,Columbidae,Columbiformes,Forest,Insessorial,229,Extant,,Treron griveaudi,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,80,4.2,0,0,1,0,0,0,0,,,,,,,,,,,,Landbirds
Tribonyx hodgenorum,Tribonyx,Rallidae,Gruiformes,Wetland,Terrestrial,839.06,Extinct,Genus average,Tribonyx hodgenorum,Landbirds,Flightless,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Flightless Landbirds
Turdus eremita,Turdus,Turdidae,Passeriformes,Shrubland,Terrestrial,90.995,Extant,,Turdus eremita,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,810,4.3,0,0,1,0,0,0,0,,,0,0,1,0,1,1,0,0,0,Landbirds
Turdus xanthorhynchus,Turdus,Turdidae,Passeriformes,Forest,Insessorial,82.5,Extant,,Turdus xanthorhynchus,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,Islands,1,0,0,0,1,0,1,0,0,0,Landbirds
Turnagra capensis,Turnagra,Oriolidae,Passeriformes,"","",,Extinct,Wikipedia,Turnagra capensis,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Turnagra tanagra,Turnagra,Oriolidae,Passeriformes,"","",,Extinct,Wikipedia,Turnagra tanagra,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,Landbirds
Uratelornis chimaera,Uratelornis,Brachypteraciidae,Coraciiformes,Woodland,Terrestrial,226,Extant,,Uratelornis chimaera,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,Landbirds
Vini kuhlii,Vini,Psittacidae; Psittaculidae,Psittaciformes,Forest,Insessorial,40,Extant,,Vini kuhlii,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,3100,5,0,0,0,0,0,1,1,Islands,5,0,0,0,0,1,0,0,0,0,Landbirds
Vini peruviana,Vini,Psittacidae; Psittaculidae,Psittaciformes,Woodland,Insessorial,29,Extant,,Vini peruviana,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,75500,5.1,0,0,0,0,0,1,1,,,0,0,0,0,1,0,0,0,0,Landbirds
Vini ultramarina,Vini,Psittacidae; Psittaculidae,Psittaciformes,Forest,Insessorial,46.3333333333333,Extant,,Vini ultramarina,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,99,5,0,0,0,0,0,0,1,Islands,1,0,0,0,1,1,0,0,0,0,Landbirds
Xenicus gilviventris,Xenicus,Acanthisittidae,Passeriformes,Shrubland,Generalist,17.5933333333333,Extant,,Xenicus gilviventris,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,78600,3.5,0,0,0,0,0,0,1,,,0,0,0,0,0,1,1,0,0,Landbirds
Zapornia monasa,Zapornia,Rallidae,Gruiformes,Forest; Wetland,Terrestrial,73.4115,Extinct,Genus average,Zapornia monasa,Landbirds,Flightless,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Flightless Landbirds
Zapornia palmeri,Zapornia,Rallidae,Gruiformes,Forest; Wetland,Terrestrial,73.4115,Extinct,Genus average,Zapornia palmeri,Landbirds,Flightless,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Flightless Landbirds
Zapornia sandwichensis,Zapornia,Rallidae,Gruiformes,Forest; Wetland,Terrestrial,73.4115,Extinct,Genus average,Zapornia sandwichensis,Landbirds,Flightless,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Flightless Landbirds
Zenaida graysoni,Zenaida,Columbidae,Columbiformes,Forest,Generalist,192,Extant,,Zenaida graysoni,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Zoothera atrigena,Zoothera,Turdidae,Passeriformes,Forest,Generalist,65.3,Extant,,Zoothera atrigena,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Zoothera margaretae,Zoothera,Turdidae,Passeriformes,Forest,Terrestrial,65.2733333333334,Extant,,Zoothera margaretae,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Zoothera terrestris,Zoothera,Turdidae,Passeriformes,Forest; Shrubland,Generalist; Insessorial; Terrestrial,86.6529487179487,Extinct,Genus average,Zoothera terrestris,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Zoothera turipavae,Zoothera,Turdidae,Passeriformes,Forest,Terrestrial,65.2733333333334,Extant,,Zoothera turipavae,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Zosterops albogularis,Zosterops,Zosteropidae,Passeriformes,Forest,Insessorial,30,Extant,,Zosterops albogularis,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,5,3.5,0,0,0,0,0,0,1,Islands,1,0,0,0,1,0,0,0,0,0,Landbirds
Zosterops chloronothos,Zosterops,Zosteropidae,Passeriformes,Forest,Insessorial,8.1,Extant,,Zosterops chloronothos,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,100,3.5,0,0,1,0,0,1,0,,,0,0,0,1,0,0,0,0,0,Landbirds
Zosterops modestus,Zosterops,Zosteropidae,Passeriformes,Woodland,Insessorial,12.8,Extant,,Zosterops modestus,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,120,3.5,0,0,1,0,0,1,0,Islands,5,0,0,0,1,0,0,0,0,0,Landbirds
Zosterops mouroniensis,Zosterops,Zosteropidae,Passeriformes,Shrubland,Insessorial,9.9,Extant,,Zosterops mouroniensis,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,80,3.5,0,0,1,0,0,0,0,,,0,0,0,0,1,0,0,0,0,Landbirds
Zosterops rotensis,Zosterops,Zosteropidae,Passeriformes,Forest,Insessorial,10,Extant,,Zosterops rotensis,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,8,3.5,0,0,0,0,0,0,1,Islands,1,0,0,0,1,1,0,0,0,0,Landbirds
Zosterops samoensis,Zosterops,Zosteropidae,Passeriformes,Forest,Insessorial,10.6,Extant,,Zosterops samoensis,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Zosterops strenuus,Zosterops,Zosteropidae,Passeriformes,Forest; NA; Riverine; Shrubland; Woodland,Insessorial,11.7676811594203,Extinct,Genus average,Zosterops strenuus,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,Landbirds
Zosterops tenuirostris,Zosterops,Zosteropidae,Passeriformes,Forest,Insessorial,17.2,Extant,,Zosterops tenuirostris,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,27,3.5,0,0,0,0,0,1,1,,,0,0,0,1,1,0,0,0,0,Landbirds
