scientificName,assessmentId,internalTaxonId,Common_name,Synonyms_or_previous_lump,Original_rodent_attributed_IUCN,redlistCategory,redlistCriteria,Primary_causes,Rodent_primary,Rodent_only_primary,has_study,key,Rodent_attributed_final,Rodent_attribution_source
Amaurocichla bocagii,131461308,22715170,Sao Tome Short-tail,"",Rattus rattus,Vulnerable,D1,Unknown,0,0,No,Amaurocichla bocagii_Rattus rattus,Rattus rattus,Rodent attribution from IUCN.
Amaurornis magnirostris,95043197,22732147,Talaud Bush-hen,"",Rattus argentiventer (native),Vulnerable,C2a(ii),Habitat loss,0,0,Yes,Amaurornis magnirostris_Rattus argentiventer,Rattus argentiventer,Rodent attribution from IUCN.
Amazona agilis,180748265,22686231,Black-billed Amazon,"",Rattus,Endangered,A3cde+4acde,Unknown,0,0,No,Amazona agilis_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Amazona agilis,180748265,22686231,Black-billed Amazon,"",Rattus,Endangered,A3cde+4acde,Unknown,0,0,No,Amazona agilis_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Amazona collaria,179193185,22686209,Yellow-billed Amazon,"",Rattus,Vulnerable,"B1ab(i,ii,iii,iv,v)","Rats, mongoose, habitat loss, human hunting",1,0,No,Amazona collaria_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Amazona collaria,179193185,22686209,Yellow-billed Amazon,"",Rattus,Vulnerable,"B1ab(i,ii,iii,iv,v)","Rats, mongoose, habitat loss, human hunting",1,0,No,Amazona collaria_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Amazona vittata,179276011,22686239,Puerto Rican Amazon,"",Rattus rattus,Critically Endangered,D,"Habitat loss, weather extreme",0,0,Yes,Amazona vittata_Rattus rattus,Rattus rattus,Rodent attribution from IUCN.
Amytornis woodwardi,211092297,22703783,White-throated Grasswren,"",Rattus rattus,Endangered,C2a(i),Fire,0,0,No,Amytornis woodwardi_Rattus rattus,Rattus rattus,Rodent attribution from IUCN.
Anas eatoni,92854679,22680306,Southern Pintail,"",Rattus norvegicus,Vulnerable,A3e,"Rats, cats",1,0,No,Anas eatoni_Rattus norvegicus,Rattus norvegicus,Rodent attribution from IUCN.
Anas laysanensis,130697270,22680203,Laysan Duck,"",Rattus,Critically Endangered,B1ac(iv),"Rabbits, disease, weather extreme",0,0,Yes,Anas laysanensis_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Anas laysanensis,130697270,22680203,Laysan Duck,"",Rattus,Critically Endangered,B1ac(iv),"Rabbits, disease, weather extreme",0,0,Yes,Anas laysanensis_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Anas laysanensis,130697270,22680203,Laysan Duck,"",Rattus,Critically Endangered,B1ac(iv),"Rabbits, disease, weather extreme",0,0,Yes,Anas laysanensis_Rattus exulans,Rattus exulans,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Anas melleri,196314602,22680225,Meller's Duck,"",Rattus,Endangered,C2a(ii),Human hunting,0,0,No,Anas melleri_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Anas melleri,196314602,22680225,Meller's Duck,"",Rattus,Endangered,C2a(ii),Human hunting,0,0,No,Anas melleri_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Anas nesiotis,171601774,22724580,Campbell Teal,"",Rattus norvegicus,Vulnerable,D2,Rats,1,1,Yes,Anas nesiotis_Rattus norvegicus,Rattus norvegicus,Rodent attribution from IUCN.
Anas wyvilliana,112386802,22680199,Hawaiian Duck,"",Rattus,Endangered,"B1ab(ii,iii,iv,v)","Habitat loss, hybridization",0,0,Yes,Anas wyvilliana_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Anas wyvilliana,112386802,22680199,Hawaiian Duck,"",Rattus,Endangered,"B1ab(ii,iii,iv,v)","Habitat loss, hybridization",0,0,Yes,Anas wyvilliana_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Anas wyvilliana,112386802,22680199,Hawaiian Duck,"",Rattus,Endangered,"B1ab(ii,iii,iv,v)","Habitat loss, hybridization",0,0,Yes,Anas wyvilliana_Rattus exulans,Rattus exulans,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Anthornis melanocephala,94997726,22728814,Chatham Islands Bellbird,"",Rattus,Extinct,"",Habitat loss,0,0,No,Anthornis melanocephala_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Anthornis melanocephala,94997726,22728814,Chatham Islands Bellbird,"",Rattus,Extinct,"",Habitat loss,0,0,No,Anthornis melanocephala_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Anthornis melanocephala,94997726,22728814,Chatham Islands Bellbird,"",Rattus,Extinct,"",Habitat loss,0,0,No,Anthornis melanocephala_Rattus exulans,Rattus exulans,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Apalopteron familiare,93953867,22704125,Bonin White-eye,Apalopteron familiare,"Rattus rattus, Rattus norvegicus",Near Threatened,D2,Habitat loss,0,0,Yes,Apalopteron familiare_Rattus rattus,Rattus rattus,Rodent attribution from IUCN.
Apalopteron familiare,93953867,22704125,Bonin White-eye,Apalopteron familiare,"Rattus rattus, Rattus norvegicus",Near Threatened,D2,Habitat loss,0,0,Yes,Apalopteron familiare_Rattus norvegicus,Rattus norvegicus,Rodent attribution from IUCN.
Aphrastura masafuerae,125419923,22702156,Masafuera Rayadito,Aphrastura masafucrae,"Rattus, Mus musculus",Critically Endangered,B1ab(iii),Habitat loss,0,0,No,Aphrastura masafuerae_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Aphrastura masafuerae,125419923,22702156,Masafuera Rayadito,Aphrastura masafucrae,"Rattus, Mus musculus",Critically Endangered,B1ab(iii),Habitat loss,0,0,No,Aphrastura masafuerae_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Aphrastura masafuerae,125419923,22702156,Masafuera Rayadito,Aphrastura masafucrae,"Rattus, Mus musculus",Critically Endangered,B1ab(iii),Habitat loss,0,0,No,Aphrastura masafuerae_Mus musculus,Mus musculus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Aplonis cinerascens,94248565,22710502,Rarotonga Starling,"",Rattus rattus,Vulnerable,D1+2,Unknown,0,0,No,Aplonis cinerascens_Rattus rattus,Rattus rattus,Rodent attribution from IUCN.
Aplonis corvina,94248268,22710496,Kosrae Starling,"",Rattus,Extinct,"",Rats,1,1,No,Aplonis corvina_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Aplonis corvina,94248268,22710496,Kosrae Starling,"",Rattus,Extinct,"",Rats,1,1,No,Aplonis corvina_Rattus exulans,Rattus exulans,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Aplonis fusca,94249210,22710511,Tasman Starling,Aplornis fusca ssp. Fusca,Rattus rattus,Extinct,"","Rats, habitat loss",1,0,Yes,Aplonis fusca_Rattus rattus,Rattus rattus,Rodent attribution from IUCN.
Aplonis mavornata,94248417,22710499,Mysterious Starling,"",Rattus norvegicus,Extinct,"",Rats,1,1,No,Aplonis mavornata_Rattus norvegicus,Rattus norvegicus,Rodent attribution from IUCN.
Aplonis pelzelni,94247819,22710490,Pohnpei Starling,"",Rattus,Critically Endangered,"B1ab(v);C2a(i,ii);D",Unknown,0,0,No,Aplonis pelzelni_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Aplonis pelzelni,94247819,22710490,Pohnpei Starling,"",Rattus,Critically Endangered,"B1ab(v);C2a(i,ii);D",Unknown,0,0,No,Aplonis pelzelni_Rattus exulans,Rattus exulans,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Aplonis santovestris,119060447,22710485,Mountain Starling,"",Rattus,Endangered,"B1ab(v)+2ab(v); C2a(i,ii)",Unknown,0,0,No,Aplonis santovestris_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Aplonis santovestris,119060447,22710485,Mountain Starling,"",Rattus,Endangered,"B1ab(v)+2ab(v); C2a(i,ii)",Unknown,0,0,No,Aplonis santovestris_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Aplonis santovestris,119060447,22710485,Mountain Starling,"",Rattus,Endangered,"B1ab(v)+2ab(v); C2a(i,ii)",Unknown,0,0,No,Aplonis santovestris_Rattus exulans,Rattus exulans,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Aplonis ulietensis,119212332,22734867,Raiatea Starling,Turdus ulietensis,Rattus norvegicus,Extinct,"",Rats,1,1,Yes,Aplonis ulietensis_Rattus norvegicus,Rattus norvegicus,Rodent attribution from IUCN.
Apteryx mantelli,119177586,45353580,North Island Brown Kiwi,Apteryx australis,Rattus,Vulnerable,A2bce,"Dog, ferret",0,0,Yes,Apteryx mantelli_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Apteryx mantelli,119177586,45353580,North Island Brown Kiwi,Apteryx australis,Rattus,Vulnerable,A2bce,"Dog, ferret",0,0,Yes,Apteryx mantelli_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Apteryx mantelli,119177586,45353580,North Island Brown Kiwi,Apteryx australis,Rattus,Vulnerable,A2bce,"Dog, ferret",0,0,Yes,Apteryx mantelli_Rattus exulans,Rattus exulans,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Ardenna carneipes,155469189,22698188,Flesh-footed Shearwater,Puffinus carneipes,"Rattus rattus, Rattus norvegicus",Near Threatened,A2bcde+3bcde+4bcde,Unknown,0,0,Yes,Ardenna carneipes_Rattus rattus,Rattus rattus,Rodent attribution from IUCN.
Ardenna carneipes,155469189,22698188,Flesh-footed Shearwater,Puffinus carneipes,"Rattus rattus, Rattus norvegicus",Near Threatened,A2bcde+3bcde+4bcde,Unknown,0,0,Yes,Ardenna carneipes_Rattus norvegicus,Rattus norvegicus,Rodent attribution from IUCN.
Ardenna creatopus,132633266,22698195,Pink-footed Shearwater,Puffinus creatopus,"Rattus rattus, Rattus norvegicus",Vulnerable,D2,Fishing-bycatch,0,0,Yes,Ardenna creatopus_Rattus rattus,Rattus rattus,Rodent attribution from IUCN.
Ardenna creatopus,132633266,22698195,Pink-footed Shearwater,Puffinus creatopus,"Rattus rattus, Rattus norvegicus",Vulnerable,D2,Fishing-bycatch,0,0,Yes,Ardenna creatopus_Rattus norvegicus,Rattus norvegicus,Rodent attribution from IUCN.
Ardenna grisea,154440143,22698209,Sooty Shearwater,Puffinus griseus,"Rattus rattus, Rattus norvegicus",Near Threatened,A2de+3de+4de,Fishing-bycatch,0,0,Yes,Ardenna grisea_Rattus rattus,Rattus rattus,Rodent attribution from IUCN.
Ardenna grisea,154440143,22698209,Sooty Shearwater,Puffinus griseus,"Rattus rattus, Rattus norvegicus",Near Threatened,A2de+3de+4de,Fishing-bycatch,0,0,Yes,Ardenna grisea_Rattus norvegicus,Rattus norvegicus,Rodent attribution from IUCN.
Ardeola idae,189949320,22697143,Madagascar Pond-heron,"",Rattus,Endangered,C2a(ii),Habitat loss,0,0,Yes,Ardeola idae_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Ardeola idae,189949320,22697143,Madagascar Pond-heron,"",Rattus,Endangered,C2a(ii),Habitat loss,0,0,Yes,Ardeola idae_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Aythya innotata,128903025,22680380,Madagascar Pochard,"",Rattus,Critically Endangered,D,Unknown,0,0,No,Aythya innotata_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Aythya innotata,128903025,22680380,Madagascar Pochard,"",Rattus,Critically Endangered,D,Unknown,0,0,No,Aythya innotata_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Bostrychia bocagei,177028688,22697478,Dwarf Ibis,"",Rattus rattus,Critically Endangered,C2a(ii),Human hunting,0,0,No,Bostrychia bocagei_Rattus rattus,Rattus rattus,Rodent attribution from IUCN.
Branta sandvicensis,194369606,22679929,Hawaiian Goose,Anser sandvicensis,"Rattus rattus, Rattus norvegicus, Rattus exulans",Near Threatened,"B2ab(ii,iii,iv,v); C2a(i)",Unknown,0,0,Yes,Branta sandvicensis_Rattus rattus,Rattus rattus,Rodent attribution from IUCN.
Branta sandvicensis,194369606,22679929,Hawaiian Goose,Anser sandvicensis,"Rattus rattus, Rattus norvegicus, Rattus exulans",Near Threatened,"B2ab(ii,iii,iv,v); C2a(i)",Unknown,0,0,Yes,Branta sandvicensis_Rattus norvegicus,Rattus norvegicus,Rodent attribution from IUCN.
Branta sandvicensis,194369606,22679929,Hawaiian Goose,Anser sandvicensis,"Rattus rattus, Rattus norvegicus, Rattus exulans",Near Threatened,"B2ab(ii,iii,iv,v); C2a(i)",Unknown,0,0,Yes,Branta sandvicensis_Rattus exulans,Rattus exulans,Rodent attribution from IUCN.
Bulweria fallax,132628433,22698136,Jouanin's Petrel,"",Rattus,Near Threatened,D2,Unknown,0,0,Yes,Bulweria fallax_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Bulweria fallax,132628433,22698136,Jouanin's Petrel,"",Rattus,Near Threatened,D2,Unknown,0,0,Yes,Bulweria fallax_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Cabalus modestus,94999473,22728873,Chatham Islands Rail,"Gallirallus modestus ssp. Modestus, Rallus modestus ssp. Modestus",Rattus,Extinct,"","Rats, habitat loss, cats",1,0,No,Cabalus modestus_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Cabalus modestus,94999473,22728873,Chatham Islands Rail,"Gallirallus modestus ssp. Modestus, Rallus modestus ssp. Modestus",Rattus,Extinct,"","Rats, habitat loss, cats",1,0,No,Cabalus modestus_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Cabalus modestus,94999473,22728873,Chatham Islands Rail,"Gallirallus modestus ssp. Modestus, Rallus modestus ssp. Modestus",Rattus,Extinct,"","Rats, habitat loss, cats",1,0,No,Cabalus modestus_Rattus exulans,Rattus exulans,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Callaeas cinereus,156237250,103730380,South Island Kokako,Callaeas wilsoni,Rattus rattus,Critically Endangered,D,"Rats, possums, stoats, habitat loss",1,0,Yes,Callaeas cinereus_Rattus rattus,Rattus rattus,Rodent attribution from IUCN.
Calonectris leucomelas,132630766,22698172,Streaked Shearwater,"","Rattus rattus, Rattus norvegicus",Near Threatened,A2abe+3be+4abe,"Rats, cats",1,0,Yes,Calonectris leucomelas_Rattus rattus,Rattus rattus,Rodent attribution from IUCN.
Calonectris leucomelas,132630766,22698172,Streaked Shearwater,"","Rattus rattus, Rattus norvegicus",Near Threatened,A2abe+3be+4abe,"Rats, cats",1,0,Yes,Calonectris leucomelas_Rattus norvegicus,Rattus norvegicus,Rodent attribution from IUCN.
Calyptophilus tertius,190919306,22729082,Western Chat-tanager,"","Rattus rattus, Rattus norvegicus",Vulnerable,"B1ab(ii,iii,v)","Rats, cats, habitat loss",1,0,No,Calyptophilus tertius_Rattus rattus,Rattus rattus,Rodent attribution from IUCN.
Calyptophilus tertius,190919306,22729082,Western Chat-tanager,"","Rattus rattus, Rattus norvegicus",Vulnerable,"B1ab(ii,iii,v)","Rats, cats, habitat loss",1,0,No,Calyptophilus tertius_Rattus norvegicus,Rattus norvegicus,Rodent attribution from IUCN.
Carpodacus ferreorostris,111776645,22720622,Bonin Grosbeak,Chaunoproctus ferreorostris,Rattus,Extinct,"","Rats, habitat loss, cats",1,0,No,Carpodacus ferreorostris_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Carpodacus ferreorostris,111776645,22720622,Bonin Grosbeak,Chaunoproctus ferreorostris,Rattus,Extinct,"","Rats, habitat loss, cats",1,0,No,Carpodacus ferreorostris_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Catharus bicknelli,180783383,22728467,Bicknell's Thrush,"",Rattus rattus,Vulnerable,A2bc+3bc+4bc,Habitat loss,0,0,Yes,Catharus bicknelli_Rattus rattus,Rattus rattus,Rodent attribution from IUCN.
Certhidea olivacea,119095821,103814223,Green Warbler-finch,Certhidea fusca,Rattus,Vulnerable,"A2bce+3bce+4bce; B1ab(iii,v)","Habitat loss, introduced plants",0,0,No,Certhidea olivacea_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Certhidea olivacea,119095821,103814223,Green Warbler-finch,Certhidea fusca,Rattus,Vulnerable,"A2bce+3bce+4bce; B1ab(iii,v)","Habitat loss, introduced plants",0,0,No,Certhidea olivacea_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Charadrius obscurus,126893184,62290750,Southern Red-breasted Plover,"",Rattus,Critically Endangered,A4a; C1+2a(ii),Stoats,0,0,Yes,Charadrius obscurus_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Charadrius obscurus,126893184,62290750,Southern Red-breasted Plover,"",Rattus,Critically Endangered,A4a; C1+2a(ii),Stoats,0,0,Yes,Charadrius obscurus_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Charadrius obscurus,126893184,62290750,Southern Red-breasted Plover,"",Rattus,Critically Endangered,A4a; C1+2a(ii),Stoats,0,0,Yes,Charadrius obscurus_Rattus exulans,Rattus exulans,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Charadrius sanctaehelenae,179182366,22693785,Saint Helena Plover,"","Rattus norvegicus, Rattus",Vulnerable,D1,Ending domestic grazing,0,0,Yes,Charadrius sanctaehelenae_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
